APP_ID,REVIEWER NAME,COMMENT,TIME,REPLY COMMENT,LIKES,REPLY TIME,RATING
UOB Mighty Malaysia,Vinay Kumar Rai,"This is one of the worst apps I've downloaded. For months now, I've been able to successfully log in only 1 out of 2 times, ie the first attempt has always failed and the second attempt has mostly, but not always, succeeded. On top of that, I have to restart my phone to get the app to stop. I'm writing this after unsuccessfully trying twice to log in. You expect these kinds of shoddy apps from small developers,not a major corporation like UOB.","07/03/2020, 14:33:59",,29,Not replied,1
UOB Mighty Malaysia,Clarence Poh,"Latest update fails big time! I couldn't log in multiple times and it gave a prompt that my device is rooted (negative). I managed to make a transaction via pc, thus, proving the app has an issue. 5 stars prior. 1 star now. Total failure if log in problems persist. Latest update: It's all jiffy now, working fine as it was prior to update. Thanks developers.","07/04/2020, 20:32:26",,28,Not replied,5
UOB Mighty Malaysia,firebird P,"Edit: Pixel 2xl hanging issue seems to have been resolved, added stars to reflect this. This app used to be good but now keeps hanging or having issues even starting. Not a good idea to use at the point of payment in shops, when it's this buggy at the basic functionality level. Normally i don't leave negative reviews, but since there isn't (or i can't find it) even an in-app option to send feedback about app functioning issues....","08/13/2020, 13:38:25",,41,Not replied,4
UOB Mighty Malaysia,Zie Ya,"Omg I thought something was wrong with my phone but apparently not cause it's not happening to me alone! I couldn't login the app at all, kept prompting that my device is rooted! It's been about a week or two alr. I have tried clearing cache, force closed the app uninstall and reinstall multiple times but it still won't work. Will still prompt me the rooted device note!!! Edit: Finally can use the app again, thank you developers!!!","06/27/2020, 13:11:44",,30,Not replied,5
UOB Mighty Malaysia,Mohamed Muzammil,"The App was working fine till about two days ago! I have an issue that the app insists my phone is rooted. Unable to perform any transactions. Called UOB up on thursday, till now still not resolved. Quite crippled without the app !! Issue still not resolved till today !!! July 10! Been almost a month! Unable to do transactions!","07/10/2020, 12:39:59",,19,Not replied,1
UOB Mighty Malaysia,Bernard Lim,"This UOB mobile app was really good until 3 weeks ago when I started getting message that it has detected ""Root Jail Break"" and I checked nothing malicious happened on my mobile. Checked with UOB helpdesk and confirmed that their latest mobile version had some technical issue. Till today this is not resolved yet for me. What a frustration..","07/15/2020, 23:02:16",,13,Not replied,1
UOB Mighty Malaysia,Fanny Chua,"Have been using this apps for one year plus, but now the apps show alert ""The following critical threats have been found on your mobile device. For security, this application will now quit. Root/Jailbreak"". My mobile did not root at all. Please fix asap. As most of transaction done here. Thanks. Aint the Dev Teams going to look into this?","06/21/2020, 09:58:40",,16,Not replied,3
UOB Mighty Malaysia,Agustine Wee,"For younger users, this app is considered done of the most difficult to navigate . I can't imagine the inconveniences that older generation customers will face. UOB has aggressively pushed for its Mighty Secure digital token in replacement for the digital token, but the digital system is far from adequate in terms functionality. The app required me to enter OTP from the physical token which was forcefully phased out by UOB Singapore, and I have no recourse to shift my funds now. 0 🌟 if I could","07/14/2020, 02:06:33",,3,Not replied,1
UOB Mighty Malaysia,Alawiyah Alhadad,"29 June latest update: Fingerprint login still doesnt work! This is the only app I have that crashes everytime I try to activate fingerprint login (and also the only banking app that crashes; I have several others). UOB, you can do better. This problem has been going on for a year.","06/29/2020, 19:01:16","Dear Alawiyah Alhadad, 

We have noticed slowness in usage of the app services yesterday night and had since restarted our servers. We will continue to monitor and improve our service.
 
Please try logging on and using the app again. For assistance, please do not hesitate to email us at customer.service@uobgroup.com.

UOB Mobile and Digital Team",29,"07/05/2019, 18:40:32",1
UOB Mighty Malaysia,Dhillon SS,"Unpleasant! Embarrassing encounter. After signing a contract could not use PayNow app on OUB. it's says update. After 30mins still not updated. Battery 30%gone I just updated 26/06/2020.called Cs, cannot help. Manager called, n indirectly hinting my phone issue. And when I told him its says update uob mighty. He just saying I cannot understand you. I told him if this language you cannot understand, Is Afrikan language okay with you. They UOB just enhanced their app.. Unpleasant..","07/05/2020, 13:17:23",,1,Not replied,1
UOB Mighty Malaysia,KC. Kwan,"Once in a while, this app will run continuously in the background and you will notice the obvious battery drain. The only way out is to force stop the app. It is hard to pinpoint what trigger it, but the use of the Mighty Secure token is one possible cause.","07/24/2020, 17:26:54",,6,Not replied,2
UOB Mighty Malaysia,Jeremy Pong,"After I install the new version UOB apps, it seems like a lot of problems arise. Please inform your technician to get this repair or have another version without the detect of (Root or Malware). Dated 14/07/2020 apps still the same problem, please do something about it. It really inconvenience about using this UOB apps.","07/14/2020, 09:49:26",,5,Not replied,1
UOB Mighty Malaysia,Siew Peng Goh,"It seems that UOB has no intention to fix the so-called ""rooted/jailbreak"" issue many have faced here with UOB app ONLY. It is horrendous and hilarious to even pop up a message requesting user to find the solution from the phone manufacturer. Do you even have a proper app development team or is your app outsourced? This is really not acceptable.","07/26/2020, 15:25:44",,8,Not replied,1
UOB Mighty Malaysia,Nicolas Andres,"This is ridiculous. If I have Mock Location app, the UOB app will prompt libraries tampering alert which is totally not true and it also showed rooted device even I didnt root my device. After uninstalling the mock location app, it works as usual. I think you need to find a better mobile security vendor, the vendor seems so lousy.","07/30/2020, 12:03:45",,9,Not replied,3
UOB Mighty Malaysia,Paul Chin,"The app keeps saying my phone is rooted and unable to log in since 29 June 2020. It also changes my phone general settings - it goes back to normal only after restarting my phone. Sometimes after closing the app multiple times, I manage to login. It's clearly not functioning properly!","07/27/2020, 18:11:56",,5,Not replied,1
UOB Mighty Malaysia,Glenn lum,"My device is not rooted! This is extremely disappointing. Suddenly the app says my phone is rooted which i am very sure it is not. 1 update and from a good app, it became the worse app. Disappointed that UOB vendor did not check properly before publishing an updated version. Shame on them.","06/22/2020, 02:44:44",,8,Not replied,1
UOB Mighty Malaysia,Gerald Loke,"So sick of this app not letting me log in. Absolutely no problem logging in with PC/Mac and on my old iPhone but why such poor standard with Android app? Called the call centre for help, unable to help me on the spot, said the IT Department will call me in 2-3 business days, but it has been a week, no call at all.","07/04/2020, 10:36:17",,2,Not replied,1
UOB Mighty Malaysia,Yuhao Tan,"This app has been broken for more than a month because of ""root device"" issues on Android, which renders the app useless, and I have to use my browser for any banking needs these days. This is ridiculous and incompetent from UOB.","07/30/2020, 11:48:11",,5,Not replied,1
UOB Mighty Malaysia,Joanne Tee,Ws a great app. One of the best banking apps to say and all of a sudden it keeps force closing. I hope it's helping to prevent any scam/fraud from happening which is causing this but it's been gg on for nore than a week alr. Can end up logging in nore thab 8 times one sgot due to the force closing and it still closes!!!!,"06/30/2020, 22:59:59",,7,Not replied,1
UOB Mighty Malaysia,Anuar Zainal,"Hello developer ^_^ I think there is a problem with the app or server. After using the Fingerprint ID like i always do, cant get to the main page as it keeps authenticating for a long time. Uninstall and reinstall, still a bit lag. Hope u can fix the problem thnx","07/01/2020, 18:28:56",,0,Not replied,3
UOB Mighty Malaysia,Ev Ly,"Poor app which cannot replace a computer. I took ages trying to figure out how to change my daily transfer limit on the app, and only one call to UOB, one referral to a specialist which had to call me back, to learning that it can only be done via a computer.","07/29/2020, 16:54:02",,1,Not replied,1
UOB Mighty Malaysia,Donald Ong,Worse app ever. Can someone quickly fix the incorrect root detection problem??? My phone is not rooted. Why the app is preventing me to perform IB? None of the other Bank apps gave me this issue. I'm just deeply disappointed in UOB. Please fix this issue immediately.,"07/18/2020, 18:27:14",,11,Not replied,1
UOB Mighty Malaysia,Wayne Tay,Seeing a long queue at other atm. Decided to try the contact less mighty pay which is the worst decision. Unreliable app which crashes everytime. Didn't even get the money in the end and the queue at the other ATM already cleared up. You guys should really Fire the company or team to develop your application because as a customer this is the worst experience. Until then this app name should change to UOB mighty unreliable.,"07/31/2020, 13:52:57",,0,Not replied,1
UOB Mighty Malaysia,D See,The latest App update caused the phone rooted issue. My phone is Android never installed illegal apps. I had uninstalled and reinstalled still the same. Also rebooted it. Had run antivirus and no issue. Pls fix this ASAP.,"07/15/2020, 15:20:57",,1,Not replied,1
UOB Mighty Malaysia,M. Wan,Update on 28/06/2020: To everyone who still have issues. Try reinstalling the app on your device.. You have to set up everything again unfortunately.. Won't take more than 5 minutes I believe.. The app works after reinstalling.. Hope it helps..,"06/28/2020, 22:24:22",,32,Not replied,4
UOB Mighty Malaysia,Alissa Ng,Unable to use app due to rooted jailbreak device. But my android LG device is not rooted and the app was working fine until the update after 5th June. How do I fix this? I even install payable avg antivrius but there is no malware in my device to reslove this in the first place.,"06/22/2020, 11:21:06",,2,Not replied,1
UOB Mighty Malaysia,Eswaran.Chris Nathan,"Well after Rooted problem solved for me. Login takes so like 2 MRT station travel, yet cannot login. All the way authenticating for 2 MRT stations. Damn bad the app service! Please work on it more to get it better. Soooooo inconvenient.","07/01/2020, 13:30:21",,3,Not replied,1
UOB Mighty Malaysia,Shawn X,"have been used this app for years, quite stable. However, since ard 2 weeks ago, the app always hang while view credit card transactions. updated on today 20 Jun, but the problem not solved. Frustrating :( PLS do sth ASAP!","07/15/2020, 20:27:05",,2,Not replied,1
UOB Mighty Malaysia,Collin Low,Log in after a short while being prompt out of it. Today's date is 31st July but the app already stated it as 1st Aug. What is wrong with the app. Please update the problem asap. Thank you,"07/31/2020, 16:33:26",,0,Not replied,1
UOB Mighty Malaysia,LWMC,"App decided my phone is jailbroken and or rooted, hence has quit working for me. Without serving any notice. Please fix this issue since I'm not the only one who face this problem.","07/16/2020, 17:35:45",,1,Not replied,2
UOB Mighty Malaysia,Ngan Mei Mei,"Why this ""Mighty App"" not able to view past transaction history? It only show top few transactions for current month, no way to view transactions for previous months, unlike apps from OCBC or DBS.","07/01/2020, 23:59:40",,1,Not replied,1
UOB Mighty Malaysia,Lau San,Loved this apps! It always works everywhere anytime! 🤟🏻. It would be perfect if the Sg uob mighty could make an payment transaction & fund transfer for overseas. That's the thing perhaps to get a better idea of!,"06/23/2020, 12:35:02",,0,Not replied,4
UOB Mighty Malaysia,Jeremy NG,"app has been working fine on redmi 8... but recently it refuse to work... keeps showing a ""fix it"" button on startup.. emailed logs several times.. but still no response from developer","07/12/2020, 20:09:10",,0,Not replied,1
UOB Mighty Malaysia,Jessie Lui,Tried several times. Still Unable to update successfully. It is preventing me from making urgent transactions. Please rectify the problems asap.,"07/02/2020, 11:38:43",,0,Not replied,1
UOB Mighty Malaysia,Joe Low,App kept closing on me. Kept saying my phone is rooted which is not. Please solve this problem. What's the point having this app when I can't use it? Can't do any online banking.,"07/07/2020, 11:47:27",,0,Not replied,1
UOB Mighty Malaysia,Sandy Ang,"app keep hanging so fastrating.until now still hang at sms opt there.how come the app still hang? once log in hang, log in already hang again. 1/7 what happen couldn't log in to the app at all","07/01/2020, 13:00:53","Dear Sandy Ang, 

We apologise for the inconvenience you have experienced. Please update the app to the latest version. If you are still encountering issues, please email us at - helpme@uobgroup.com with your username for investigation.

UOB Mobile and Digital Team",2,"07/22/2019, 18:22:53",1
UOB Mighty Malaysia,Rose Heng,Got an SMS alert to check my card e-statement. But cannot even open the app. Please rectify this or else I won't be paying for my bill since I cannot even see the statement at all.,"06/23/2020, 13:21:21",,0,Not replied,1
UOB Mighty Malaysia,Zhi Ming Ng,"After the latest update, the app will always crash when you try to swipe to Confirm the transaction. I did not encounter in the previous versions.","07/21/2020, 22:21:32",,0,Not replied,1
UOB Mighty Malaysia,Parnu Kasaemakravipas,The application had improve a lot. UI is nice. Some menu is hidden and really hard to find.,"07/01/2020, 20:10:12",,0,Not replied,3
UOB Mighty Malaysia,Lkp Lkp,"The download hangs. Unfortunately the app cannot work without update, so unable to make any transactions at all. Please fix asap.","07/02/2020, 09:15:57",,0,Not replied,1
UOB Mighty Malaysia,Hui Sing Tou,"Has been using this app for very long until suddenly because root device detected n I can't use anymore, like huh? Now I can't do transfer I can't check my savings which is really annoying.","07/20/2020, 23:01:49",,2,Not replied,1
UOB Mighty Malaysia,Jo Phee Yin Yoga,The app keeps stalling every time i make payment with PAYNOW and this has happened 5 times in a month! I don't have this problem with Citibank. Not banking with UOB anymore!,"06/23/2020, 01:44:22",,0,Not replied,1
UOB Mighty Malaysia,chia johnny,"Stated that my phone is rooted, which isn't. Can't login. Pls resolve the issue. It seems to affect Samsung galaxy note 8. I am using Samsung galaxy Note 8 too.","06/22/2020, 16:00:51",,5,Not replied,1
UOB Mighty Malaysia,Brucceee Kai,"One of the shittest bank app , always crash, I had to uninstall and reinstall for multiple time for no reason, Encourage user to transfer all money to other bank","07/01/2020, 13:02:01",,0,Not replied,1
UOB Mighty Malaysia,kit fung,This app hangs all the time and it gets more frustrating when it hangs just when you are about to confirm a transaction,"07/02/2020, 11:25:28",,0,Not replied,1
UOB Mighty Malaysia,SHA LYNN,I thought is was my phone problem. I can't log in. It's was smooth before until 3 days ago. Wonder what is happening.,"06/25/2020, 20:30:36",,1,Not replied,1
UOB Mighty Malaysia,Jesus Jr. Panuncillon,"User friendly apps, very easy to use, convenient and very reliable.","07/02/2020, 10:03:32",,1,Not replied,5
UOB Mighty Malaysia,konchok trinley,"This app was working fine UNTIL the update. It does not even work now, cant even download the update. Zero star.","07/02/2020, 18:18:16",,0,Not replied,1
UOB Mighty Malaysia,Kangcheng Wang,Please fix the root access problem soon... It has been months and the problem is still not SOLVED!!! UOB you got to be kidding me,"07/20/2020, 08:35:45",,1,Not replied,1
UOB Mighty Malaysia,Lawrence Ainsley,"You should add an ""eye"" icon next to password tab. Sometimes type wrong password, can view by tapping on the eye icon. So, no wasting time!!","07/02/2020, 11:19:03",,0,Not replied,3
UOB Mighty Malaysia,Tasty Bite,Not able to login since 22nd June 2020 getting error message on my note 10 plus phone. Kindly fix the issue asap.,"06/24/2020, 03:44:31",,0,Not replied,1
UOB Mighty Malaysia,Kelvin Ng,Garbage. Keep authenticating and authenticating. When is going to stop authenticating? Pls fix this garbage app.,"07/01/2020, 12:24:49",,0,Not replied,1
UOB Mighty Malaysia,Mich elle,Crashes all the time these days. Used to be good. Been using for more than a year,"07/22/2020, 09:10:42",,0,Not replied,1
UOB Mighty Malaysia,ganga ari,"Terrible. I cant access the app as its prompted to update. Yet, its stalling throughout the update process..","07/03/2020, 18:41:24",,0,Not replied,1
UOB Mighty Malaysia,Francis Ng,Unable to log with biometrics after recent update. Please fix this error.,"07/01/2020, 13:57:02",,0,Not replied,1
UOB Mighty Malaysia,Shanny Loh,Falsely detection of Root /jailbreak. I can't use this app at all. I've no issue with using DBS mobile app with this phone.,"06/23/2020, 14:43:28",,1,Not replied,1
UOB Mighty Malaysia,jieqi tan,"OMG!! Mighty Pay keep on closing.. never bring physical card, have to remove some item and use the only bit of cash i have to pay","06/24/2020, 20:55:33",,0,Not replied,2
UOB Mighty Malaysia,Lars Allen Ventura,What happened to this App and why the UOB management cant do anything about the jailbreak problem..Why now with this kind of pandemic where people needs more online transaction... PLEASE DO SOMETHING,"06/25/2020, 10:16:02",,2,Not replied,1
UOB Mighty Malaysia,Thandar Aung,After updating the Apps taking too long to login. Click somewhere keep loading.,"07/01/2020, 13:33:59",,0,Not replied,2
UOB Mighty Malaysia,Catherine Chiang,"The new update on 18 Jun still have not resolve apps issue. it still show ""Mighty is still temporary unavailable"" :(","06/20/2020, 16:56:41",,0,Not replied,3
UOB Mighty Malaysia,Zhang LN,Cannot update at all. Waiting for 15 minutes never start.,"07/03/2020, 22:16:04",,0,Not replied,1
UOB Mighty Malaysia,Ski Bas,- Not able to make any transaction - hard to navigate - bug saying error everytime adding a payee or making transaction,"07/21/2020, 05:59:23",,0,Not replied,2
UOB Mighty Malaysia,Charles Perez,"often does not work. eg finger print login not recognised, hang halfway, etc","07/28/2020, 10:15:58",,0,Not replied,1
UOB Mighty Malaysia,Ong Jian Cheng,Still unable to use this app after latest update due to the app thinking my phone is rooted. Using lgv30+,"07/08/2020, 22:54:07",,1,Not replied,1
UOB Mighty Malaysia,priyanka sharma,"It never works, always says need fix. Very bad experience","07/27/2020, 12:51:31",,0,Not replied,1
UOB Mighty Malaysia,Princess Kelly,Keep updating can't log in I've to log into google to used my internet banking Rubbish .......,"07/02/2020, 15:08:01",,0,Not replied,1
UOB Mighty Malaysia,Evon Ho,It was fine but it had been over a week and I still can't access it. You need to fix this man.,"07/16/2020, 00:10:37",,0,Not replied,1
UOB Mighty Malaysia,Louis Ching,Always stopped in the midst of any transaction.,"07/15/2020, 23:14:10",,0,Not replied,1
UOB Mighty Malaysia,Fiona Ng,Might pay never work. After OTP authentication it jux keep spinning and never get properly setup,"07/21/2020, 00:07:22",,0,Not replied,1
UOB Mighty Malaysia,Joan Louise Malgapo,Can't login after latest update. Should have skipped,"07/06/2020, 09:41:19",,0,Not replied,1
UOB Mighty Malaysia,Jinyuan Chong,Problems with logging in and problems with using mighty pay,"07/08/2020, 07:49:41",,0,Not replied,1
UOB Mighty Malaysia,Nitin Jain,The App keeps crashing making it impossible to perform any activity,"06/27/2020, 14:02:25",,0,Not replied,1
UOB Mighty Malaysia,Joanna Choy,Totally cannot update the app. Have been attempting to update frm 3 jul till now,"07/06/2020, 11:31:19",,0,Not replied,1
UOB Mighty Malaysia,Angel Tan,Says device is rooted when it's not. HOW DO I ACCESS THE APP NOW?!,"06/22/2020, 02:33:12",,1,Not replied,1
UOB Mighty Malaysia,Katherine Tan,Simple & fast. Easy to use.,"07/03/2020, 09:59:38",,0,Not replied,5
UOB Mighty Malaysia,daniel koh,have deleted the app . Restart phone n download again . still cant log in.,"06/21/2020, 11:39:54",,0,Not replied,2
UOB Mighty Malaysia,Luke Koh,Latest update reset everything. And I have lots of issu issue setting it up against again.,"06/19/2020, 23:39:40",,0,Not replied,2
UOB Mighty Malaysia,Jimmy Wong,"Whenever I select Mighty Pay, the app crashed..","07/02/2020, 18:13:29",,0,Not replied,1
UOB Mighty Malaysia,Jolene Hxw,Unable to log in for few days,"07/16/2020, 07:31:21",,0,Not replied,1
UOB Mighty Malaysia,Ardila Zufir,"Seriously the best banking app there is! So user friendly unlike the other banks and I'm still so amazed every single time how I can send money to my friends in 18 seconds flat. This is the best banking app in the market, hands down! Good job to the team at UOB!!","06/28/2020, 18:26:27",,1,Not replied,5
UOB Mighty Malaysia,christine chan,"Hi, it seems that the problem FIX IT due root or malware issue still have not been resolved even though uninstall ,shut down, reinstall after 1 hrs time still unable to access. May I know when can your IT or technical dept resolve this issue . I am using Samsung galaxy note 8 Pls advise Thanks Chris","06/17/2020, 12:13:36",,5,Not replied,3
UOB Mighty Malaysia,Jun L,Always crash and cannot log in...,"07/01/2020, 12:33:14",,0,Not replied,1
UOB Mighty Malaysia,danielleleilalu,"Hi devs, notifications disappeared. I have to open the app first before getting notified if i am logging in on my browser/other device. Yesterday, i can't log in via the app because it says my phone is rooted which it's not. I tried to open the app again after a few seconds and i managed to login but today, i am not able to login at all. It insists my phone is rooted. 2FA is activated and its giving me a hard time accessing my account.","06/11/2020, 11:32:04",,21,Not replied,1
UOB Mighty Malaysia,Skrub,Welp the app has improved. Now it works. Alot less buggy,"07/03/2020, 09:23:18",,0,Not replied,4
UOB Mighty Malaysia,Geneva Koh,"Everytime when i get a notification, it disappears when i click on it","06/25/2020, 15:53:10",,0,Not replied,3
UOB Mighty Malaysia,Wilfred Ling,Latest biometric api which supports face unlock is not implemented for this banking app yet.,"06/29/2020, 15:07:58",,0,Not replied,1
UOB Mighty Malaysia,Thomas Poi,"As the rest already said, your app refuse to open because it says devices is rooted. It was working until today. Your app is the only bank app that says my device is rooted.","06/17/2020, 13:55:44",,2,Not replied,1
UOB Mighty Malaysia,GuoLong Soren,Uninstalled... detected rooted device. Don't use then. Save my space,"06/22/2020, 04:38:16",,1,Not replied,1
UOB Mighty Malaysia,Leslie Ho,App always restart during transactions,"07/02/2020, 16:02:15",,0,Not replied,2
UOB Mighty Malaysia,Alice Foo,Keep preventing for update...Please fix it ASAP,"07/02/2020, 16:49:35",,0,Not replied,1
UOB Mighty Malaysia,Seline Neo,"It was working perfectly fine until...a few days ago n now have the same issue in logging into my account...""root device problem for Samsung note 8"" as highlighted by few users. Hope the bank are looking into this issue","06/15/2020, 13:10:27",,2,Not replied,4
UOB Mighty Malaysia,Steven Long Steven,the users frequently used this apps for transaction on internet banking. but introductory navigation pages are clutter with too many promotions and advertising making transactional navigation difficult. it doesn't seem to serve internet banking purposes.,"06/10/2020, 15:34:33",,1,Not replied,1
UOB Mighty Malaysia,Rena Bay,Same here. I hv been experiencing the error and ' root device detEcted'. hasnt been able to resolve till today.,"06/18/2020, 23:14:39",,1,Not replied,2
UOB Mighty Malaysia,Just Ris,Fix the root problem for the app. Please.,"06/27/2020, 17:01:59",,1,Not replied,1
UOB Mighty Malaysia,chiqui ellez,"Same problem of not able to log in since yesterday, error message says my device was rooted when I have a subscription of virus scanner & had no issues for the past years. Please fix this ASAP!","06/15/2020, 23:27:58",,2,Not replied,1
UOB Mighty Malaysia,chew siokfong,All along I had been using Mighty since a week I can't log in .Error keep appear FIX IT.I sent the error code to UOB IT dept till now no reply.😡😡😡😡.if u r getting ppl to use mighty pls solve this problem. 😠😠😠,"06/20/2020, 22:52:32",,0,Not replied,1
UOB Mighty Malaysia,Shi Wei Ng,Doesn't work. Any bank app that claims my device is rooted. All other bank apps have no issue.,"06/21/2020, 18:41:37",,1,Not replied,1
UOB Mighty Malaysia,Jason Manalo,Suddenly stopped working. Its saying my phone is rooted which is not true.,"06/19/2020, 10:32:20",,1,Not replied,1
UOB Mighty Malaysia,Philip Lee,Fast and easy to use,"07/01/2020, 20:24:28",,0,Not replied,5
UOB Mighty Malaysia,goals vaquez,Cant even log in. It quote that the phone is malware infected which is not even true. Fix your app properly before launching for users.,"06/13/2020, 21:32:20",,2,Not replied,1
